Majority.protein.IDs	Gene.names	razorUniqueCount	razorUniqueCount.MIAPACA...AG205.1	razorUniqueCount.MIAPACA...AG205.2	razorUniqueCount.MIAPACA...AG205.3	razorUniqueCount.MIAPACA...AG205.4	razorUniqueCount.MIAPACA...AG205.5	razorUniqueCount.MIAPACA.1	razorUniqueCount.MIAPACA.2	razorUniqueCount.MIAPACA.3	razorUniqueCount.MIAPACA.4	razorUniqueCount.MIAPACA.5	razorUniqueCount.wt...AG205.1	razorUniqueCount.wt...AG205.2	razorUniqueCount.wt...AG205.3	razorUniqueCount.wt...AG205.4	razorUniqueCount.wt...AG205.5	razorUniqueCount.wt.1	razorUniqueCount.wt.2	razorUniqueCount.wt.3	razorUniqueCount.wt.4	razorUniqueCount.wt.5	spectraCount	Potential.contaminant	quantified	logFC_PGRMC1__vs__MIAPACA	AveExpr_PGRMC1__vs__MIAPACA	t_PGRMC1__vs__MIAPACA	P.Value_PGRMC1__vs__MIAPACA	adj.P.Val_PGRMC1__vs__MIAPACA	B_PGRMC1__vs__MIAPACA	logFC_PGRMC1_AG205__vs__MIAPACA_AG205	AveExpr_PGRMC1_AG205__vs__MIAPACA_AG205	t_PGRMC1_AG205__vs__MIAPACA_AG205	P.Value_PGRMC1_AG205__vs__MIAPACA_AG205	adj.P.Val_PGRMC1_AG205__vs__MIAPACA_AG205	B_PGRMC1_AG205__vs__MIAPACA_AG205	logFC_PGRMC1__vs__PGRMC1_AG205	AveExpr_PGRMC1__vs__PGRMC1_AG205	t_PGRMC1__vs__PGRMC1_AG205	P.Value_PGRMC1__vs__PGRMC1_AG205	adj.P.Val_PGRMC1__vs__PGRMC1_AG205	B_PGRMC1__vs__PGRMC1_AG205	logFC_MIAPACA__vs__MIAPACA_AG205	AveExpr_MIAPACA__vs__MIAPACA_AG205	t_MIAPACA__vs__MIAPACA_AG205	P.Value_MIAPACA__vs__MIAPACA_AG205	adj.P.Val_MIAPACA__vs__MIAPACA_AG205	B_MIAPACA__vs__MIAPACA_AG205	RawIntensity_MIAPACA...AG205.1	RawIntensity_MIAPACA...AG205.2	RawIntensity_MIAPACA...AG205.3	RawIntensity_MIAPACA...AG205.4	RawIntensity_MIAPACA...AG205.5	RawIntensity_MIAPACA.1	RawIntensity_MIAPACA.2	RawIntensity_MIAPACA.3	RawIntensity_MIAPACA.4	RawIntensity_MIAPACA.5	RawIntensity_wt...AG205.1	RawIntensity_wt...AG205.2	RawIntensity_wt...AG205.3	RawIntensity_wt...AG205.4	RawIntensity_wt...AG205.5	RawIntensity_wt.1	RawIntensity_wt.2	RawIntensity_wt.3	RawIntensity_wt.4	RawIntensity_wt.5	iBAQ_MIAPACA...AG205.1	iBAQ_MIAPACA...AG205.2	iBAQ_MIAPACA...AG205.3	iBAQ_MIAPACA...AG205.4	iBAQ_MIAPACA...AG205.5	iBAQ_MIAPACA.1	iBAQ_MIAPACA.2	iBAQ_MIAPACA.3	iBAQ_MIAPACA.4	iBAQ_MIAPACA.5	iBAQ_wt...AG205.1	iBAQ_wt...AG205.2	iBAQ_wt...AG205.3	iBAQ_wt...AG205.4	iBAQ_wt...AG205.5	iBAQ_wt.1	iBAQ_wt.2	iBAQ_wt.3	iBAQ_wt.4	iBAQ_wt.5	LFQIntensity_MIAPACA...AG205.1	LFQIntensity_MIAPACA...AG205.2	LFQIntensity_MIAPACA...AG205.3	LFQIntensity_MIAPACA...AG205.4	LFQIntensity_MIAPACA...AG205.5	LFQIntensity_MIAPACA.1	LFQIntensity_MIAPACA.2	LFQIntensity_MIAPACA.3	LFQIntensity_MIAPACA.4	LFQIntensity_MIAPACA.5	LFQIntensity_wt...AG205.1	LFQIntensity_wt...AG205.2	LFQIntensity_wt...AG205.3	LFQIntensity_wt...AG205.4	LFQIntensity_wt...AG205.5	LFQIntensity_wt.1	LFQIntensity_wt.2	LFQIntensity_wt.3	LFQIntensity_wt.4	LFQIntensity_wt.5	ImputedIntensity_MIAPACA...AG205.1	ImputedIntensity_MIAPACA...AG205.2	ImputedIntensity_MIAPACA...AG205.3	ImputedIntensity_MIAPACA...AG205.4	ImputedIntensity_MIAPACA...AG205.5	ImputedIntensity_MIAPACA.1	ImputedIntensity_MIAPACA.2	ImputedIntensity_MIAPACA.3	ImputedIntensity_MIAPACA.4	ImputedIntensity_MIAPACA.5	ImputedIntensity_wt...AG205.1	ImputedIntensity_wt...AG205.2	ImputedIntensity_wt...AG205.3	ImputedIntensity_wt...AG205.4	ImputedIntensity_wt...AG205.5	ImputedIntensity_wt.1	ImputedIntensity_wt.2	ImputedIntensity_wt.3	ImputedIntensity_wt.4	ImputedIntensity_wt.5
A0AVT1	UBA6	2	1	0	2	1	2	1	1	2	0	0	1	1	1	1	1	0	1	1	1	0	1			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3579943600662	NA	23.0194556702573	21.5905797405223	23.1562726022861	20.9573061307378	20.1616485855431	22.4130225199195	NA	NA	21.9659251659708	22.2422576868435	21.6347578838383	21.5033424455026	21.3032946912304	NA	21.716449404492	22.3260827112801	21.3625495941946	NA	16.5506415850344	NA	17.2120973546172	15.7832284731657	17.3488837278902	15.149985220736	14.3543182637539	16.6056531310554	NA	NA	16.1585702439132	16.4349050911486	15.8274171396612	15.6959894647025	15.4959486891238	NA	15.9090961571135	16.5187299842685	15.5551882513459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0FGR8	ESYT2	5	5	3	4	2	2	5	5	5	5	4	4	3	2	2	4	3	2	3	3	2	33		+	-1.20033329528721	23.918930799745	-3.23662953808118	0.00979464945410525	0.0212516935403293	-4.11404399182156	-0.19118422934088	23.9288048629029	-0.567104020568689	0.583860394559795	0.698270459233332	-7.50530209186548	-0.514448596131128	23.5759884501669	-1.05679099201006	0.316912864248667	0.430746508016148	-7.20099486602327	0.4947004698152	24.271747212481	4.42926931139741	0.00151240324740226	0.00427117535251682	-2.05046471951311	26.2655825708767	25.3897536857227	25.7684268598842	25.0403020971904	24.9562428497358	26.404429963416	26.2371378806977	26.4339628254354	25.6439167263977	25.7173283437512	25.7193927902064	25.6636477851867	24.1722645135367	23.8839953300378	25.78066711388	26.0436222632467	24.9363395989846	25.8952507593102	25.4598585727415	24.5213320563092	20.7420528043019	19.8661982930238	20.2448144211117	19.5167234165613	19.4326764617015	20.8808420193508	20.7135576851889	20.9104231477533	20.1203492671163	20.1937611574968	20.1958047203677	20.1400858291297	18.6486735582929	18.3604184632903	20.2570701186587	20.5200853360181	19.4127848325691	20.3716703097117	19.936321624724	18.9977473332903	23.9268721746594	24.2672804796446	24.0301902465531	24.1702025929515	23.7274393940581	24.5318383228332	24.4615768666798	24.7134528038657	24.3797427053013	24.5088765382629	24.0180126780095	24.2767520165118	23.9567745881929	NA	24.4321157067449	23.993603910409	NA	23.6636206426245	23.6482302942313	23.5070019263982	23.9268721746594	24.2672804796446	24.0301902465531	24.1702025929515	23.7274393940581	24.5318383228332	24.4615768666798	24.7134528038657	24.3797427053013	24.5088765382629	24.0180126780095	24.2767520165118	23.9567745881929	22.4824087517033	24.4321157067449	23.993603910409	21.7813639868437	23.6636206426245	23.6482302942313	23.5070019263982
A1L390	PLEKHG3	2	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	2	2	2	1	1	8		+	0.298815114775213	22.1605948961081	0.677315798371079	0.514708550922133	0.595978322120364	-7.74481512178598	-0.996827786005486	21.9411326864827	-2.50448146553362	0.0324592411237594	0.0795503681426849	-5.02710013465659	0.867283660015765	21.8763606234878	1.84654323697064	0.0963615313199965	0.168811127090216	-6.17719774022852	-0.42835924076493	22.225366959103	-1.18197583359196	0.266480619527091	0.343916324792126	-7.16285139820005	NA	NA	22.5016185487349	22.1009805213155	NA	21.9616220848894	NA	NA	21.8123716209624	NA	NA	22.2446402421823	22.0071012004915	22.5140764014158	21.7777208534559	24.7322096666533	24.3430626092773	24.0707924644122	23.3878490508349	22.8120190131051	NA	NA	16.6942490497546	16.2936153364077	NA	16.1542841181609	NA	NA	16.005010431073	NA	NA	16.4372969327076	16.199729849073	16.7067118449807	15.9703755616384	18.9248588858026	18.5356778581525	18.2634801160083	17.5804205200097	17.0047032739544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2884166485607	22.6692337009611	22.57510155921	NA	NA	22.271183497915	23.0183272077714	22.7423134024174	21.6244796369355	22.5414291523879	22.9096695756236	21.5880885328042	22.5691053503588	21.3388159940171	21.6502572407988	22.0440950817897	22.5258608783347	21.0440489924055	20.7132737970899	20.88631521778	23.2884166485607	22.6692337009611	22.57510155921	21.7812190156193	21.2360413431276
A2RUR9;Q8IYA2	CCDC144A;CCDC144CP	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	8			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.228576518599	27.0138240787081	26.5647381875652	NA	26.3857938239502	NA	25.9851578279832	26.1903136040651	26.2856680530885	25.6783112851019	26.2565411428858	26.241126775881	27.8581017811964	22.8791225225316	23.5368258322632	24.8428766596895	24.1221044188794	25.1148565705337	25.4702308838117	NA	19.8535380046466	20.6388282969825	20.1896653271413	NA	20.0107247759418	NA	19.6101273018656	19.815267578344	19.9106280926616	19.3032723911115	19.8814993720996	19.8660775224534	21.4831091956129	16.5040896366337	17.1617223850899	18.4678602407079	17.747078419649	18.739813565698	19.0951961079141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5A3E0;P0CG38	POTEF;POTEI	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	7			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.0924726271038	22.8698355392323	23.3181036395089	NA	24.6387620235622	23.3523204325912	21.9302334588275	22.3536400652541	NA	23.2016937996171	23.2793759372348	24.1481010383549	NA	22.4043162624237	23.7402625151834	24.924518231805	24.0939397556013	23.6707686095551	24.2508252065249	24.4829615373516	17.3376044814005	17.1149216858901	17.5632409683717	NA	18.8838424881542	17.5974706509741	16.1753546208226	16.5987504095718	NA	17.44677638836	17.5244345862994	18.3932228483772	NA	16.6494807389686	17.9854306071334	19.1696216685966	18.3390844812705	17.9159027141647	18.4959564940357	18.7280666518784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NCE7;Q9GZQ8;Q9H492	MAP1LC3B2;MAP1LC3B;MAP1LC3A	2	2	2	2	2	2	1	0	0	0	0	2	2	2	2	2	0	0	0	0	0	19		+	-0.436761194844991	21.7413051840172	-1.01043164200677	0.337867304817379	0.423902480579895	-7.45669329738824	0.672233752884495	26.9078683464073	2.03732185360401	0.0705861236493906	0.140577837836471	-5.78212776235825	-5.7210606362549	24.3834549047221	-18.3603191489447	1.05884559302959e-08	4.35507796089561e-07	10.7108358158348	-4.61206568852542	24.2657186257024	-10.3562165389463	2.02289797057736e-06	2.55154864022158e-05	5.07452294167124	27.9316249234985	26.797611066421	27.616527530918	27.1665296641637	28.289912079669	21.7971311188935	NA	NA	NA	NA	28.0122795227254	28.1502044530369	27.2294019377352	28.1230720013577	28.5151026962137	NA	NA	NA	NA	NA	25.9316136528398	24.7975863307603	25.616527530918	25.1664913552366	26.2898944953697	19.7971232008945	NA	NA	NA	NA	26.0122688648717	26.1502141390969	25.2293836002175	26.1230917411835	26.5151026962137	NA	NA	NA	NA	NA	26.9814171187747	26.8268711906575	26.2158605957185	25.6126523355866	27.2219561090881	NA	NA	NA	NA	NA	27.3884568368369	27.2676733947723	26.6497931808805	27.0525839702855	27.8614187314727	NA	NA	NA	NA	NA	26.9814171187747	26.8268711906575	26.2158605957185	25.6126523355866	27.2219561090881	22.7354398005601	21.1945490837882	22.9945907446154	21.2577799809984	21.616069297236	27.3884568368369	27.2676733947723	26.6497931808805	27.0525839702855	27.8614187314727	22.0186128968974	21.9146971119795	20.5531998295216	21.3685086338656	21.7596044607092
A6NEL3	FAM86C2P	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	8			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1295125709512	24.5236069400352	24.4173817809205	24.5194735696399	24.428861577987	NA	24.2006765424199	24.1756945126079	23.6673073512365	24.5753670501431	25.4536557138399	25.1606950019375	25.3684966035638	25.0514642034777	NA	NA	NA	23.1935205479163	22.4844374403355	NA	20.8075844760639	21.2016788451478	21.0954536860331	21.1975454747525	21.1069334830996	NA	20.8787484475325	20.8537664177205	20.3453792563492	21.2534389552557	22.1317276189526	21.8387669070501	22.0465685086764	21.7295361085904	NA	NA	NA	19.871592453029	19.1625093454481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NHQ2	FBLL1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	7			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.5271617390687	NA	25.5859181783474	25.1802172500114	NA	25.5951124422008	25.8237409885183	25.4794810429251	25.8963137394307	25.8291720436047	24.4988706268297	NA	24.7554707494028	NA	24.682443008981	NA	NA	NA	25.6885651385317	25.6969176628363	21.2792342256251	NA	21.3379963938512	20.9322897365678	NA	21.3472190837389	21.5758401954507	21.2315751159333	21.64838391601	21.5812300099669	20.2509552838683	NA	20.507558517046	NA	20.4345101373286	NA	NA	NA	21.4406562992499	21.4489954540915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NHR9	SMCHD1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	17		+	-0.735657329508783	22.742723975726	-2.25431747453465	0.0497478185549076	0.0879653015942851	-5.75058667607822	-0.635736680908032	22.348805616905	-3.22829708444126	0.00971895513012647	0.0305452875518261	-3.80805407685956	0.343958034520643	22.2029162937113	1.38487988374395	0.197956324765376	0.297721276992124	-6.81995444023517	0.443878683121394	22.8886132989197	1.54055013714307	0.156645868605215	0.225507990578931	-6.7137516305829	23.9103133438609	23.4142878041309	23.0230483862683	23.8865093044133	24.1074923113879	23.8371120207961	23.6746526248738	24.0890974092308	22.8124695522969	24.2266303295421	23.0203716455997	23.4936277825423	22.4996250026431	23.3829775229104	21.4902280537363	24.3812619923601	24.340823716009	24.0646388378808	23.7262963360194	22.2516777222858	17.1421070573025	16.6461086415061	16.2548625381784	17.1182719520837	17.3392584991274	17.0689671659828	16.9064208918632	17.3208710463304	16.0442873819346	17.458438655681	16.2521849468237	16.7254727730894	15.7314516255788	16.6148248502965	14.722060380242	17.6130987942092	17.5725966149072	17.2964323125649	16.9580995365233	15.483500908968	22.7162400542905	22.5966429299069	NA	22.9321996103744	22.6370820806279	23.2447418491134	23.2841858682827	23.5794586603834	NA	23.4930169111097	22.1425496027531	22.5616944216486	NA	22.2491910143804	NA	22.7501942027454	22.6319638961657	22.4520411069973	22.3353271062883	NA	22.7162400542905	22.5966429299069	22.4512051115954	22.9321996103744	22.6370820806279	23.2447418491134	23.2841858682827	23.5794586603834	21.9513599135129	23.4930169111097	22.1425496027531	22.5616944216486	21.5767419448494	22.2491910143804	21.6245093986236	22.7501942027454	22.6319638961657	22.4520411069973	22.3353271062883	21.7049502426614
A8K8V0	ZNF785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.7350539449201	26.8147005849815	27.2723088499544	26.8385793845104	26.9080467728585	27.5774431196332	27.012332810813	27.0059241453215	27.0880056377729	27.1743615929214	26.4014870970148	26.5926340491311	26.5988930396028	26.6137204572804	26.0428294590105	27.0854752147	26.8963137394307	26.9561542076024	26.3969717179332	26.3435540221703	23.0345961445434	22.1143244202881	22.5718887117488	22.1381805387437	22.2075589373489	22.8769702655155	22.3118824352119	22.3054951320085	22.387586145132	22.4739256848771	21.7010441237652	21.8922656086285	21.8984788707344	21.9133116466775	21.3423980884464	22.3850598097316	22.19592483985	22.2556590853622	21.6965091424498	21.6431075270587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
