name	id	sources
Wild yak	bmutus	GO:MF, GO:CC, GO:BP, KEGG, HP
Sloth	choffmanni	GO:MF, GO:CC, GO:BP, HP
Zebrafish	drerio	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HP
Collared flycatcher	falbicollis	GO:MF, GO:CC, GO:BP, KEGG, HP
Dingo	cldingo	GO:MF, GO:CC, GO:BP, HP
African ostrich	scaustralis	GO:MF, GO:CC, GO:BP, HP
Marmoset	cjacchus	GO:MF, GO:CC, GO:BP, KEGG, HP
Ryukyu mouse	mcaroli	GO:MF, GO:CC, GO:BP, KEGG, HP
Lesser Egyptian jerboa	jjaculus	GO:MF, GO:CC, GO:BP, HP
Sailfin molly	platipinna	GO:MF, GO:CC, GO:BP, HP
Sheep	oarambouillet	GO:MF, GO:CC, GO:BP, HP
Mexican tetra	amexicanus	GO:MF, GO:CC, GO:BP, KEGG, HP
Rabbit	ocuniculus	GO:MF, GO:CC, GO:BP, KEGG, HP
Rainbow trout	omykiss	GO:MF, GO:CC, GO:BP, HP
Siberian musk deer	mmoschiferus	GO:MF, GO:CC, GO:BP, HP
Dog	clfamiliaris	GO:MF, GO:CC, GO:BP, KEGG, HP
Midas cichlid	acitrinellus	GO:MF, GO:CC, GO:BP, HP
Turquoise killifish	nfurzeri	GO:MF, GO:CC, GO:BP, HP
Squirrel	itridecemlineatus	GO:MF, GO:CC, GO:BP, HP
Asian bonytongue	sformosus	GO:MF, GO:CC, GO:BP, KEGG, HP
Human	hsapiens	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HPA, CORUM, HP, WP
Atlantic salmon	ssalar	GO:MF, GO:CC, GO:BP, KEGG, HP
Macaque	mmulatta	GO:MF, GO:CC, GO:BP, KEGG, HP
Ballan wrasse	lbergylta	GO:MF, GO:CC, GO:BP, HP
Greater horseshoe bat	rferrumequinum	GO:MF, GO:CC, GO:BP, HP
Mouse Lemur	mmurinus	GO:MF, GO:CC, GO:BP, HP
Dolphin	ttruncatus	GO:MF, GO:CC, GO:BP, HP
Green anole	acarolinensis	GO:MF, GO:CC, GO:BP, KEGG, HP
Bolivian squirrel monkey	sbboliviensis	GO:MF, GO:CC, GO:BP, KEGG, HP
C.savignyi	csavignyi	GO:MF, GO:CC, GO:BP, HP
Red fox	vvulpes	GO:MF, GO:CC, GO:BP, KEGG, HP
Orange clownfish	apercula	GO:MF, GO:CC, GO:BP, HP
Climbing perch	atestudineus	GO:MF, GO:CC, GO:BP, HP
Tarsier	csyrichta	GO:MF, GO:CC, GO:BP, HP
Eurasian red squirrel	svulgaris	GO:MF, GO:CC, GO:BP, HP
Coquerel's sifaka	pcoquereli	GO:MF, GO:CC, GO:BP, HP
Goat	chircus	GO:MF, GO:CC, GO:BP, KEGG, HP
Arabian camel	cdromedarius	GO:MF, GO:CC, GO:BP, KEGG, HP
Lyretail cichlid	nbrichardi	GO:MF, GO:CC, GO:BP, HP
Upper Galilee mountains blind mole rat	ngalili	GO:MF, GO:CC, GO:BP, KEGG, HP
Tongue sole	csemilaevis	GO:MF, GO:CC, GO:BP, KEGG, HP
Shrew mouse	mpahari	GO:MF, GO:CC, GO:BP, KEGG, HP
Tuatara	spunctatus	GO:MF, GO:CC, GO:BP, HP
Pig	sscrofa	GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, HP, WP
Yellowtail amberjack	sldorsalis	GO:MF, GO:CC, GO:BP, KEGG, HP
Burton's mouthbrooder	hburtoni	GO:MF, GO:CC, GO:BP, HP
Great Tit	pmajor	GO:MF, GO:CC, GO:BP, HP
Common wombat	vursinus	GO:MF, GO:CC, GO:BP, HP
Chinese medaka	osinensis	GO:MF, GO:CC, GO:BP, HP
Siamese fighting fish	bsplendens	GO:MF, GO:CC, GO:BP, HP
Eastern happy	acalliptera	GO:MF, GO:CC, GO:BP, HP
Northern pike	elucius	GO:MF, GO:CC, GO:BP, KEGG, HP
Japanese medaka HdrR	olatipes	GO:MF, GO:CC, GO:BP, KEGG, MIRNA, HP
Kangaroo rat	dordii	GO:MF, GO:CC, GO:BP, HP
Common wall lizard	pmuralis	GO:MF, GO:CC, GO:BP, HP
Duck	applatyrhynchos	GO:MF, GO:CC, GO:BP, HP
Lumpfish	clumpus	GO:MF, GO:CC, GO:BP, HP
Wallaby	neugenii	GO:MF, GO:CC, GO:BP, HP
Chinese hamster CHOK1GS	cgchok1gshd	GO:MF, GO:CC, GO:BP, KEGG, HP
Pink-footed goose	abrachyrhynchus	GO:MF, GO:CC, GO:BP, HP
Tropical clawed frog	xtropicalis	GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, HP
Tiger tail seahorse	hcomes	GO:MF, GO:CC, GO:BP, KEGG, HP
Chicken	ggallus	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HP, WP
Goodes thornscrub tortoise	gevgoodei	GO:MF, GO:CC, GO:BP, HP
Coelacanth	lchalumnae	GO:MF, GO:CC, GO:BP, KEGG, HP
Indian cobra	nnaja	GO:MF, GO:CC, GO:BP, HP
Capuchin	ccapucinus	GO:MF, GO:CC, GO:BP
Gilthead seabream	saurata	GO:MF, GO:CC, GO:BP, HP
Blue whale	bmusculus	GO:MF, GO:CC, GO:BP, HP
Tree Shrew	tbelangeri	GO:MF, GO:CC, GO:BP, HP
Hyrax	pcapensis	GO:MF, GO:CC, GO:BP, HP
Black snub-nosed monkey	rbieti	GO:MF, GO:CC, GO:BP, KEGG, HP
Golden eagle	acchrysaetos	GO:MF, GO:CC, GO:BP, HP
Reedfish	ecalabaricus	GO:MF, GO:CC, GO:BP, HP
Vaquita	psinus	GO:MF, GO:CC, GO:BP, HP
Naked mole-rat female	hgfemale	GO:MF, GO:CC, GO:BP, KEGG, HP
Lamprey	pmarinus	GO:MF, GO:CC, GO:BP, HP
American bison	bbbison	GO:MF, GO:CC, GO:BP, HP
Barramundi perch	lcalcarifer	GO:MF, GO:CC, GO:BP, KEGG, HP
Sooty mangabey	catys	GO:MF, GO:CC, GO:BP, HP
Leishan spiny toad	lleishanense	GO:MF, GO:CC, GO:BP, HP
Gorilla	ggorilla	GO:MF, GO:CC, GO:BP, KEGG, HP
Zebra mbuna	mzebra	GO:MF, GO:CC, GO:BP, KEGG, HP
Zebra finch	tguttata	GO:MF, GO:CC, GO:BP, KEGG, MIRNA, HP
Painted turtle	cpbellii	GO:MF, GO:CC, GO:BP, KEGG, HP
Hedgehog	eeuropaeus	GO:MF, GO:CC, GO:BP, HP
Australian saltwater crocodile	cporosus	GO:MF, GO:CC, GO:BP, HP
Three-toed box turtle	tctriunguis	GO:MF, GO:CC, GO:BP, HP
Pika	oprinceps	GO:MF, GO:CC, GO:BP, HP
Orangutan	pabelii	GO:MF, GO:CC, GO:BP, KEGG, HP
Gibbon	nleucogenys	GO:MF, GO:CC, GO:BP, KEGG, HP
Javanese ricefish	ojavanicus	GO:MF, GO:CC, GO:BP, HP
Huchen	hhucho	GO:MF, GO:CC, GO:BP, HP
Arctic ground squirrel	uparryii	GO:MF, GO:CC, GO:BP, HP
Ma's night monkey	anancymaae	GO:MF, GO:CC, GO:BP, HP
American black bear	uamericanus	GO:MF, GO:CC, GO:BP, HP
Prairie vole	mochrogaster	GO:MF, GO:CC, GO:BP, HP
Lesser hedgehog tenrec	etelfairi	GO:MF, GO:CC, GO:BP, HP
Hybrid - Bos Indicus	bihybrid	GO:MF, GO:CC, GO:BP, HP
Alpine marmot	mmmarmota	GO:MF, GO:CC, GO:BP, HP
Elephant shark	cmilii	GO:MF, GO:CC, GO:BP, HP
Narwhal	mmonoceros	GO:MF, GO:CC, GO:BP, HP
Sheepshead minnow	cvariegatus	GO:MF, GO:CC, GO:BP, KEGG, HP
Guinea Pig	cporcellus	GO:MF, GO:CC, GO:BP, HP
Indian medaka	omelastigma	GO:MF, GO:CC, GO:BP, HP
Common canary	scanaria	GO:MF, GO:CC, GO:BP, KEGG, HP
Leopard	ppardus	GO:MF, GO:CC, GO:BP, KEGG, HP
Beluga whale	dleucas	GO:MF, GO:CC, GO:BP, HP
Caenorhabditis elegans	celegans	GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP
Golden-line barbel	sgrahami	GO:MF, GO:CC, GO:BP, HP
American mink	nvison	GO:MF, GO:CC, GO:BP, HP
Shrew	saraneus	GO:MF, GO:CC, GO:BP, HP
Turbot	smaximus	GO:MF, GO:CC, GO:BP, HP
Brown trout	strutta	GO:MF, GO:CC, GO:BP, HP
Chinese softshell turtle	psinensis	GO:MF, GO:CC, GO:BP, KEGG, HP
Hagfish	eburgeri	GO:MF, GO:CC, GO:BP, HP
Tiger	ptaltaica	GO:MF, GO:CC, GO:BP, KEGG, HP
Chacoan peccary	cwagneri	GO:MF, GO:CC, GO:BP, HP
Giant panda	amelanoleuca	GO:MF, GO:CC, GO:BP, KEGG, HP
Greater amberjack	sdumerili	GO:MF, GO:CC, GO:BP, KEGG, HP
Mallard	aplatyrhynchos	GO:MF, GO:CC, GO:BP, KEGG
Sperm whale	pcatodon	GO:MF, GO:CC, GO:BP, HP
Atlantic herring	charengus	GO:MF, GO:CC, GO:BP, HP
Eastern brown snake	ptextilis	GO:MF, GO:CC, GO:BP, HP
Donkey	eaasinus	GO:MF, GO:CC, GO:BP, HP
Goldfish	cauratus	GO:MF, GO:CC, GO:BP, HP
Channel catfish	ipunctatus	GO:MF, GO:CC, GO:BP, KEGG, HP
Large yellow croaker	lcrocea	GO:MF, GO:CC, GO:BP, KEGG, HP
Paramormyrops kingsleyae	pkingsleyae	GO:MF, GO:CC, GO:BP, HP
Bonobo	ppaniscus	GO:MF, GO:CC, GO:BP, KEGG, HP
Alpaca	vpacos	GO:MF, GO:CC, GO:BP, HP
Yarkand deer	chyarkandensis	GO:MF, GO:CC, GO:BP, HP
Chinook salmon	otshawytscha	GO:MF, GO:CC, GO:BP, HP
Vervet-AGM	csabaeus	GO:MF, GO:CC, GO:BP, KEGG, HP
C.intestinalis	cintestinalis	GO:MF, GO:CC, GO:BP, KEGG, HP
Spiny chromis	apolyacanthus	GO:MF, GO:CC, GO:BP, HP
Crab-eating macaque	mfascicularis	GO:MF, GO:CC, GO:BP, KEGG, HP
Medium ground-finch	gfortis	GO:MF, GO:CC, GO:BP, HP
Argentine black and white tegu	smerianae	GO:MF, GO:CC, GO:BP, HP
Chimpanzee	ptroglodytes	GO:MF, GO:CC, GO:BP, KEGG, TF, HP, WP
Kakapo	shabroptila	GO:MF, GO:CC, GO:BP, HP
Greater bamboo lemur	psimus	GO:MF, GO:CC, GO:BP, HP
Cow	btaurus	GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, CORUM, HP, WP
Saccharomyces cerevisiae	scerevisiae	GO:MF, GO:CC, GO:BP, KEGG, TF, HP, WP
Pike-perch	slucioperca	GO:MF, GO:CC, GO:BP, HP
Clown anemonefish	aocellaris	GO:MF, GO:CC, GO:BP, HP
Sheep (texel)	oaries	GO:MF, GO:CC, GO:BP, KEGG, MIRNA
European seabass	dlabrax	GO:MF, GO:CC, GO:BP, HP
Golden Hamster	mauratus	GO:MF, GO:CC, GO:BP, HP
Northern American deer mouse	pmbairdii	GO:MF, GO:CC, GO:BP, HP
Domestic yak	bgrunniens	GO:MF, GO:CC, GO:BP, HP
Blue-ringed sea krait	llaticaudata	GO:MF, GO:CC, GO:BP, HP
Golden snub-nosed monkey	rroxellana	GO:MF, GO:CC, GO:BP, KEGG, HP
Mummichog	fheteroclitus	GO:MF, GO:CC, GO:BP, HP
Fugu	trubripes	GO:MF, GO:CC, GO:BP, KEGG, HP
Channel bull blenny	cgobio	GO:MF, GO:CC, GO:BP, HP
Mangrove rivulus	kmarmoratus	GO:MF, GO:CC, GO:BP, HP
Spotted gar	loculatus	GO:MF, GO:CC, GO:BP, HP
Common carp	ccarpio	GO:MF, GO:CC, GO:BP, KEGG, HP
Cat	fcatus	GO:MF, GO:CC, GO:BP, KEGG, HP
Tetraodon	tnigroviridis	GO:MF, GO:CC, GO:BP, KEGG, HP
Polar bear	umaritimus	GO:MF, GO:CC, GO:BP, KEGG, HP
Platyfish	xmaculatus	GO:MF, GO:CC, GO:BP, HP
Pig-tailed macaque	mnemestrina	GO:MF, GO:CC, GO:BP, HP
Bushbaby	ogarnettii	GO:MF, GO:CC, GO:BP, HP
Turkey	mgallopavo	GO:MF, GO:CC, GO:BP, KEGG, HP
Amazon molly	pformosa	GO:MF, GO:CC, GO:BP, HP
Rat	rnorvegicus	GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, CORUM, HP, WP
Electric eel	eelectricus	GO:MF, GO:CC, GO:BP, KEGG, HP
Pinecone soldierfish	mmurdjan	GO:MF, GO:CC, GO:BP, HP
Guppy	preticulata	GO:MF, GO:CC, GO:BP, KEGG, HP
Microbat	mlucifugus	GO:MF, GO:CC, GO:BP, HP
Platypus	oanatinus	GO:MF, GO:CC, GO:BP, KEGG, HP
Megabat	pvampyrus	GO:MF, GO:CC, GO:BP, HP
Algerian mouse	mspretus	GO:MF, GO:CC, GO:BP, HP
Long-tailed chinchilla	clanigera	GO:MF, GO:CC, GO:BP, HP
Elephant	lafricana	GO:MF, GO:CC, GO:BP, KEGG, HP
Makobe Island cichlid	pnyererei	GO:MF, GO:CC, GO:BP, HP
