symbol	NMF rank	MMF localization	SAFE domain	SAFE localization	Entrez	BioGRID	HGNC	RefSeq	UniProt
AAAS	13	mitochondrial outer membrane, peroxisome	19	nuclear outer membrane-ER membrane network	8086	113759	HGNC:13666	NM_001173466	Q9NRG9
AAK1	5	actin cytoskeleton, cytosol	1	no prediction	22848	116520	HGNC:19679	NM_014911	Q2M2I8
AAR2	19	miscellaneous	5	spliceosomal complex I	25980	117464	HGNC:15886	NM_015511	Q9Y312
AARS2	6	ER lumen	4	ER lumen	57505	121569	HGNC:21022	NM_020745	Q5JTZ9
AASDH	2	chromatin	22	chromatin, nucleoplasm	132949	126342	HGNC:23993	NM_181806	Q4L235
AASS	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	10157	115459	HGNC:17366	NM_005763	Q9UDR5
AATF	8	nucleolus	3	splicing speckles, nucleolus	26574	117743	HGNC:19235	NM_012138	Q9NY61
ABCA3	14	Golgi apparatus	19	nuclear outer membrane-ER membrane network	21	106539	HGNC:33	NM_001089	Q99758
ABCB1	20	early endosome, recycling endosome	1	no prediction	5243	111262	HGNC:40	NM_000927	P08183
ABCB10	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	23456	117020	HGNC:41	NM_012089	Q9NRK6
ABCB7	13	mitochondrial outer membrane, peroxisome	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	22	106540	HGNC:48	NM_004299	O75027
ABCC1	11	plasma membrane	20	cell junction, plasma membrane	4363	110503	HGNC:51	NM_004996	P33527
ABCC4	3	ER membrane	19	nuclear outer membrane-ER membrane network	10257	115551	HGNC:55	NM_005845	O15439
ABCC5	11	plasma membrane	20	cell junction, plasma membrane	10057	115368	HGNC:56	NM_005688	O15440
ABCD1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	215	106717	HGNC:61	NM_000033	P33897
ABCD3	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	5825	111783	HGNC:67	NM_002858	P28288
ABCE1	19	miscellaneous	-	-	6059	111986	HGNC:69	NM_002940	P61221
ABCF2	11	plasma membrane	-	-	10061	115372	HGNC:71	NM_005692	Q9UG63
ABCF3	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	55324	120605	HGNC:72	NM_018358	Q9NUQ8
ABHD10	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	55347	120628	HGNC:25656	NM_018394	Q9NUJ1
ABHD12	6	ER lumen	4	ER lumen	26090	117541	HGNC:15868	NM_015600	Q8N2K0
ABI1	1	cell junction	20	cell junction, plasma membrane	10006	115324	HGNC:11320	NM_005470	Q8IZP0
ABI2	11	plasma membrane	20	cell junction, plasma membrane	10152	115454	HGNC:24011	NM_005759	Q9NYB9
ABL2	11	plasma membrane	20	cell junction, plasma membrane	27	106545	HGNC:77	NM_005158	P42684
ABLIM1	1	cell junction	-	-	3983	110171	HGNC:78	NM_001003407	O14639
ABR	11	plasma membrane	20	cell junction, plasma membrane	29	106547	HGNC:81	NM_001092	Q12979
ABRAXAS1	12	centrosome	1	no prediction	84142	123911	HGNC:25829	NM_139076	Q6UWZ7
ACAA1	12	centrosome	2	mitochondrial outer membrane, peroxisome	30	106548	HGNC:82	NM_001607	P09110
ACAD11	19	miscellaneous	2	mitochondrial outer membrane, peroxisome	84129	123902	HGNC:30211	NM_032169	Q709F0
ACAD9	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	28976	118799	HGNC:21497	NM_014049	Q9H845
ACADM	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	34	106552	HGNC:89	NM_000016	P11310
ACADSB	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	36	106554	HGNC:91	NM_001609	P45954
ACADVL	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	37	106555	HGNC:92	NM_000018	P49748
ACAP2	11	plasma membrane	1	no prediction	23527	117073	HGNC:16469	NM_012287	Q15057
ACAT1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	38	106556	HGNC:93	NM_000019	P24752
ACBD3	14	Golgi apparatus	9	Golgi apparatus	64746	122262	HGNC:15453	NM_022735	Q9H3P7
ACBD4	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	79777	122878	HGNC:23337	NM_024722	Q8NC06
